X,Y,numero_pessoas
333743,7394463,10
333104,7394476,44
333104,7394476,1
329431,7395939,74
327503,7392159,2
327503,7392159,1
329861,7397268,416
333814,7394428,8
333453,7394501,1
333453,7394501,1
333539,7394387,1
333539,7394387,1
332344,7393317,1
332344,7393317,1
332182,7395357,1
332182,7395357,1
331517,7395687,1
331517,7395687,1
333745,7394553,9
333585,7394842,1
333494,7395038,1
333494,7395038,1
333689,7394655,2
333689,7394655,1
333818,7394428,2
333029,7389527,1
333029,7389527,1
334245,7391300,2
334245,7391300,1
333153,7390012,1
333153,7390012,1
332822,7393084,77
330298,7393583,1
330298,7393583,1
333824,7394455,1
333818,7394521,2
333818,7394521,1
339187,7396000,1
339187,7396000,1
333621,7394460,2
336031,7389631,1
333034,7394541,8
333034,7394541,1
330896,7391098,53
330896,7391098,1
310958,7400373,1
310642,7400075,1
310642,7400075,1
332048,7393320,4
332048,7393320,1
331745,7394160,1
331745,7394160,1
329559,7391602,2
329559,7391602,1
338445,7401505,2
333177,7389910,22
335548,7403784,1
335548,7403784,1
335719,7401630,52
335719,7401630,1
332723,7394929,114
333721,7394487,4
333721,7394487,1
332946,7393450,17
333463,7394385,1
333463,7394385,1
333941,7396413,18
333941,7396413,1
312465,7398154,1
312465,7398154,1
329863,7397314,232
322642,7397450,20
322642,7397450,1
333847,7394431,1
333847,7394431,1
331950,7392524,8
331950,7392524,1
333713,7394483,2
331792,7388530,18
333740,7394531,1
333740,7394531,1
332354,7394890,1
332354,7394890,1
333458,7394389,11
332864,7394331,3
332864,7394331,1
320121,7401544,1
320121,7401544,1
326458,7397849,96
326569,7397888,40
333087,7393278,15
333087,7393278,1
333250,7394655,1
333250,7394655,1
332861,7394724,21
332861,7394724,1
333372,7392865,4
333372,7392865,1
337616,7394052,1
337616,7394052,1
333371,7402094,36
333371,7402094,1
334126,7399914,256
333315,7401429,1
333315,7401429,1
331175,7393190,7
331175,7393190,1
331016,7393282,14
331016,7393282,1
333510,7394390,13
333510,7394390,1
335320,7397090,1
335320,7397090,1
334071,7393206,3
334071,7393206,1
333067,7394620,8
333067,7394620,1
334705,7397515,5
334705,7397515,1
334606,7397607,19
334606,7397607,1
333360,7396622,1
333360,7396622,1
332275,7392364,33
332275,7392364,1
329721,7387859,6
329721,7387859,1
323652,7393533,5
323652,7393533,1
325629,7392123,122
325629,7392123,1
330029,7389884,1
331117,7395551,9
331117,7395551,1
336079,7394438,1
336079,7394438,1
331907,7394681,11
331902,7394385,1
331902,7394385,1
334098,7394736,1
334098,7394736,1
327012,7388679,1
332984,7393818,1
332984,7393818,1
