X,Y,numero_pessoas
333104,7394476,43
333743,7394463,8
327503,7392159,1
329431,7395939,61
333453,7394501,1
333814,7394428,6
333814,7394428,1
333539,7394387,1
333539,7394387,1
332344,7393317,1
332182,7395357,1
331517,7395687,1
0,0,25100
333689,7394655,2
333745,7394553,6
333494,7395038,1
333029,7389527,1
333818,7394428,2
334245,7391300,2
333153,7390012,1
332822,7393084,61
330298,7393583,1
339187,7396000,1
333818,7394521,1
333034,7394541,7
330896,7391098,44
310642,7400075,1
332048,7393320,4
331745,7394160,1
329559,7391602,2
338445,7401505,2
335548,7403784,1
333177,7389910,15
333463,7394385,1
332946,7393450,12
333721,7394487,3
333941,7396413,18
312465,7398154,1
331950,7392524,8
333847,7394431,1
333740,7394531,1
333713,7394483,2
333713,7394483,1
331792,7388530,10
332354,7394890,1
332864,7394331,2
333458,7394389,9
333458,7394389,1
320121,7401544,1
333087,7393278,11
333087,7393278,1
333250,7394655,1
333372,7392865,4
332861,7394724,16
332861,7394724,1
337616,7394052,1
333371,7402094,30
333315,7401429,1
331175,7393190,7
331016,7393282,13
335320,7397090,1
333510,7394390,11
334071,7393206,3
334705,7397515,5
334606,7397607,18
333360,7396622,1
333067,7394620,6
333067,7394620,1
332275,7392364,32
329721,7387859,6
323652,7393533,4
331117,7395551,7
330029,7389884,1
336079,7394438,1
331902,7394385,1
334098,7394736,1
332984,7393818,1
355967,7400965,2
330581,7392990,3
330363,7393501,1
332447,7395926,1
333824,7394475,1
332580,7391639,1
333835,7394457,1
331479,7394662,4
332833,7394394,1
332833,7394394,1
333169,7394456,1
333741,7394449,2
333623,7393047,1
333865,7393357,3
333547,7394387,1
333851,7394460,1
333606,7394469,1
333615,7394466,2
333615,7394466,1
333638,7394860,6
334583,7393057,1
327771,7391624,53
333565,7395631,8
333012,7394687,1
333012,7394687,1
331709,7395445,39
333197,7395558,1
332615,7394218,1
332615,7394218,1
329178,7394007,1
333179,7394418,1
333493,7394368,4
333493,7394368,1
331735,7392686,44
332726,7395041,10
330805,7395409,22
334256,7393524,8
333199,7394435,5
333446,7394389,1
333446,7394389,1
331129,7395246,1
334880,7398520,42
330402,7396440,2
333662,7394681,1
334497,7394297,2
333866,7394285,1
329420,7387108,1
332214,7392283,2
333381,7396181,18
330524,7398876,1
330445,7398723,1
341315,7398889,6
331030,7392035,1
333233,7396847,9
333438,7395942,2
333438,7395942,1
333790,7394572,3
333448,7395427,2
333474,7394533,1
334094,7394731,12
332845,7396976,8
334101,7400016,4
333964,7398689,15
329947,7393798,180
333445,7395428,2
333312,7394624,33
333312,7394624,1
333508,7395571,1
333508,7395571,1
333482,7395024,1
333482,7395024,1
333704,7396230,2
333704,7396230,1
333139,7395935,13
333191,7395199,2
333954,7395599,1
326770,7387716,16
332798,7383975,18
329558,7390824,2
329444,7388683,1
333425,7395809,6
333604,7395571,1
333130,7395839,3
333585,7395792,5
332699,7394839,1
334910,7396943,1
333788,7395873,7
334001,7396530,1
333549,7395622,1
334641,7395197,30
334527,7394280,12
334527,7394280,1
